Date,Biomass,Coal,Gas,Gas-CC,Hydro,Nuclear,Other,Solar,WSL,Wind,total_all_fuels
2022-03-05,621.766308,160239.692457,26796.778183,156789.810238,540.2833,122614.07544,1208.09243,39534.754056,-1417.99072,428897.477488,935824.73918
2022-03-06,628.905465,148216.648693,21892.777504,140837.760628,547.993823,122559.091204,1198.315669,45893.526274,-1126.840748,469757.893068,950406.0715799999
2022-03-07,554.929376,171070.407724,54076.108827,267564.098568,1409.388137,122550.478857,1134.048515,60147.632628,-1163.46696,348408.074738,1025751.70041
2022-03-08,621.469703,157150.765138,156329.733598,489888.26549,1667.578457,122603.13402,866.196628,65390.291869,-1004.571274,111710.710921,1105223.57455
2022-03-09,583.094213,125290.664897,91011.473688,385744.221285,1696.62999,122640.207705,964.467838,76926.079497,-979.369638,265336.155581,1069213.625056
2022-03-10,515.136484,147442.082756,42114.98957,291470.574941,910.951848,122613.641992,956.672876,82995.297019,-1051.671214,316403.530178,1004371.2064500002
2022-03-11,454.568717,170872.985019,71633.360217,323684.084811,791.405983,122662.201952,1185.292795,30705.514284,-1011.351601,427748.621277,1148726.683454
2022-03-12,494.776811,177449.99979,71795.876757,343895.746336,939.190952,122709.731658,805.966278,80264.10057,-849.857503,329190.00465,1126695.536299
2022-03-13,413.01617,139824.884985,14473.842394,178961.096564,517.931724,117634.714065,786.264742,31900.161642,-974.630331,501143.7801,984681.0620550001
2022-03-14,480.743465,147876.353581,9354.690803,156149.079876,583.660302,118928.527641,1086.499534,39793.474863,-1240.956453,501123.927854,974136.001466
2022-03-15,542.098356,188951.985268,33145.532289,255764.797722,799.204404,121594.161571,1121.39497,83117.917716,-1233.287477,243470.539045,927274.343864
2022-03-16,521.638981,163948.112819,12963.33412,148028.670812,493.583847,122653.014204,1382.115965,69594.065927,-1447.455307,431043.336673,949180.4180409999
2022-03-17,541.537096,146898.412894,14811.124563,108176.380142,536.868745,122576.403996,1154.413894,33290.076876,-1393.602692,517164.845304,943756.4608179999
2022-03-18,615.842003,167281.042356,38086.781899,205630.495129,859.975444,122589.450522,1566.323911,68918.950687,-1686.680661,322082.315301,925944.4965910001
2022-03-19,594.214505,195447.195473,49123.710099,229574.951513,564.754215,122593.210737,978.990428,88279.657589,-1360.538242,222632.644322,908428.7906389999
2022-03-20,608.776387,135441.363779,11349.353238,80992.60742,604.723705,122572.575976,932.206921,29865.115597,-1000.974583,521242.021157,902607.769597
2022-03-21,540.600571,151324.255697,15317.853205,147061.046053,611.451849,122260.834004,1369.251437,36791.723075,-1540.226494,495255.774472,968992.563869
2022-03-22,579.38941,147190.139706,17778.826585,143573.16741,534.17732,122188.635103,976.271983,21578.411519,-1272.548528,512024.468624,965150.9391319999
2022-03-23,565.868832,152569.757718,30291.776467,217839.082581,516.719491,122552.701471,1336.229664,56443.592627,-1185.905865,383090.439829,964020.262815
2022-03-24,517.957283,175116.233473,55157.808679,290994.168398,1153.338996,122531.424939,1566.963528,76663.585006,-1744.263375,238480.453977,960437.670904
2022-03-25,563.512089,195146.050196,65306.798351,331685.464036,773.880079,122468.215628,1115.222673,90012.2767,-1449.21917,157973.435209,963595.635791
2022-03-26,540.031431,171530.62613,41740.056253,229173.254673,634.274495,122325.488024,1324.660088,89771.74041,-1413.627852,269221.8969,924848.4005519999
2022-03-27,520.779958,138761.214772,25497.73595,151980.576708,634.806011,122289.074297,1335.572963,82093.270686,-1454.414972,428028.771797,949687.38817
2022-03-28,549.356868,165313.848768,21925.620507,172651.375489,597.535617,122111.698281,1409.00025,70351.807814,-1635.554609,457746.475023,1011021.1640079999
2022-03-29,557.183818,160055.068893,28228.032022,144422.130488,507.412541,111517.594276,1261.280297,30677.978266,-1539.460369,559324.035615,1035011.2558469999
2022-03-30,534.127774,158054.186451,38718.641575,209883.868624,694.189523,122071.648161,1327.36107,38564.852079,-1767.816331,417213.992841,985295.051767
2022-03-31,544.620456,190602.634383,48768.415092,337085.024501,708.307768,122122.425339,1217.367794,87876.309008,-1295.739608,145851.248095,933480.612828
